,country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Population, female","Population, male"
47,Saudi Arabia,WesternAsia,2206714,32938,653219,3.4,20710.6,5.9,22.7,71.4,5.5,182329,135904,46426,-56724,2.8,4.7,2.6,...,131,25904,287,60.41,48.37,2.85,36.31,74.18,17.96,7.29,8.01,13.72,12.49,21.07,4.75,48.37,14.36,32.07,40.54,30.22,138.05,99.93,14520.2111,39.79483249,867.640758,37503000,17446931307,54304994785,118.0299772,1.519677983,5.23025319,34.85306047,-0.83819458,76.487,73.671,74.874,14125194,18973953
48,Serbia,SouthernEurope,88499,8791,37160,0.8,5238.6,19.4,24.5,56.1,15.5,14852,19231,-4379,-1751,-0.4,10.4,2.5,4.2,71,393,62,53.86,33.79,17.87,29.93,55.29,82.66,3.14,3.33,31.88,30.07,142.63,0.7,33.79,7.25,21.07,24.96,27.2,40.8,100,5116.376951,50.87652416,7.355192,2442731,5943301157,4802207665,138.6654534,-5.264526002,8.433958143,50.54078791,3.131062486,78.1,73.1,75.53902439,3580264,3440594
49,Singapore,South-easternAsia,719,5709,292734,2,52239,0.3,17,82.6,2,329871,283009,46862,57922,1.7,4.9,1.9,2.9,293,27,209,69.87,82.41,21.63,43.39,37.04,-71.47,2.75,3.65,36.41,27.39,134.33,0.74,82.41,70.22,76.57,71.68,58.33,92.7,100,45178.69351,29.52086364,5062.992579,38094990,1.6939E+11,1.80034E+11,113.2659229,16.26382316,4.440382868,170.7053754,0.57626031,85.4,80.9,83.09512195,2674905,2937348
50,Slovakia,EasternEurope,49035,5448,87268,3.8,16082.5,3.3,34.5,62.2,9.9,77565,75156,2409,193,0.1,8.1,3.4,4.2,54,264,121,62.63,44.9,9.85,36.03,43.51,65.06,5.62,5.57,17.78,17.94,61.59,1.62,44.9,16.49,31.29,38.84,33.17,64.75,100,14893.34749,43.71688959,,7925,10557099768,9556991730,109.5903321,-1.92124039,6.742534786,95.17070123,1.311945882,80.7,73.8,77.16585366,2793675,2645557
51,Slovenia,SouthernEurope,20273,2080,42777,2.3,20689.8,8.9,29.6,61.5,8.1,27585,26646,939,2216,0.3,9.2,2.8,5.5,143,154,135,64.35,53.24,8.34,26.48,26.37,60.5,4.2,4.21,23.82,23.77,60.26,1.66,53.24,14.06,34.46,43.48,43.13,78.23,100,20396.04433,51.34433803,0.5664,1087075,8256449247,5649619234,107.4021101,6.152710431,8.18701759,82.96492266,1.429107433,84,78.2,81.02926829,1038723,1027665
52,South Africa,SouthernAfrica,1221037,56717,314571,1.3,5773,6.1,26.2,67.7,26,74111,74744,-633,-13644,1.4,8.8,0.8,6,581,7102,122,61.72,43.12,3.58,42.98,63.56,88.74,9.51,10.41,10.51,9.6,41.97,2.38,43.12,16.33,30.28,36.27,40.2,98.96,84.4,6181.729998,52.3680399,833.3479475,20821044,15387496171,15773982430,146.0537215,-2.54979945,8.113118261,29.62766937,5.181082233,67.064,60.162,63.538,28883601,28116850
53,Spain,SouthernEurope,505944,46354,1192955,3.2,25865.4,3.9,19.2,76.8,18.3,281777,302539,-20762,16208,-0.2,9,3.8,4.3,617,1432,102,76.65,54.98,8.26,32.63,37.46,88.04,4.38,5.23,22.81,19.13,52.02,1.92,54.98,18.83,37.65,44.68,53.68,87.87,100,27021.26196,51.16971897,1078.63356,71598374,1.44762E+11,72302235551,108.3753351,2.713088077,8.873129636,35.17839222,1.956083333,86.1,80.6,83.28292683,23723820,22869416
54,Sri Lanka,SouthernAsia,65610,20877,82316,4.8,3973.7,27.4,25.9,46.6,5.2,10546,19501,-8955,-2009,0.5,3.5,...,2.2,587,179,20,80.04,33.47,17.49,47.19,61.9,2.4,4.91,4.47,20.38,22.38,238.64,0.42,33.47,8.74,21.62,36.79,19.51,30.28,97.5,3666.867163,52.74330001,398.4734642,5403577,7689872443,4352662707,147.0878582,-2.641021534,3.8114205,21.83146528,7.704137679,79.979,73.238,76.648,11133868,10310132
55,Sweden,NorthernEurope,438574,9911,495694,4.1,50687.5,1.8,18.2,79.9,7.3,139574,140838,-1263,23250,0.8,11.9,4.1,7.7,54,1428,206,70.64,75.88,11.77,31.6,17.87,59.13,2.52,3.22,39.66,31.08,71.27,1.4,75.88,26.86,52.39,67.94,78.27,107.23,100,48316.27676,59.965652,,,74155873151,69960800756,106.4917747,3.084006348,11.01874635,43.73472193,1.794499047,84.1,80.8,82.4097561,5025514,5032184
56,Switzerland,WesternEurope,41291,8476,670790,0.8,80831.1,3.5,20.4,76.1,4.6,304691,269157,35534,77378,1.2,11.7,4.1,5.1,74,552,126,71.04,122.06,14.04,28.3,20.77,69.32,3.01,3.15,33.24,31.78,81.89,1.22,122.06,56.57,90.68,122.72,119.85,95.35,100,60640.14866,49.9325805,1581.35236,26732570,1.20397E+11,1.05501E+11,98.26686201,6.416519284,12.34632209,65.03266312,0.533795988,85.6,81.6,83.55121951,4263869,4187971
57,Thailand,South-easternAsia,513120,69038,395168,2.8,5814.8,34,22.7,43.3,0.6,213927,195666,18260,32149,0.4,4.1,...,4.1,611,3338,83,80.66,43.71,24.43,43.56,73.23,-20.21,3.8,3.54,26.29,28.27,212.03,0.47,43.71,14.94,29.92,48.31,21.42,34.28,99.9,4783.331667,40.43126264,2511.891368,70704889,70666590667,46384831963,111.2868092,9.632341137,3.746016324,66.68192937,0.665631893,80.468,72.977,76.683,35458012,33751846
58,The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,10052,3.8,4836.1,16.2,29.2,54.5,27.3,4785,6757,-1972,-204,0.1,6.5,2.8,...,110,53,53,63.46,30.93,14.67,33.79,83.38,75.54,3.71,3.57,26.93,28.04,132.83,0.75,30.93,6.02,18.99,25.41,20.74,39.85,100,4432.662783,42.67585587,,,1622275888,1180295136,110.9158333,-0.855503441,6.062114984,55.14571934,1.351618897,77.639,73.584,75.589,1040211,1041785
59,Turkey,WesternAsia,783562,80745,717888,4,9125.8,19.6,27.5,52.9,10.8,142606,198602,-55996,-32278,1.6,5.4,1.7,4.8,388,1303,65,71.68,38.6,8.87,47.58,70.46,73.19,5.43,6.28,18.41,15.92,121.45,0.82,38.6,10.56,25.16,33.46,26.45,55.64,100,12064.01656,49.83174251,4800.237745,107917326,52747000000,26036000000,174.9687033,-4.75959953,4.216302931,24.77379433,11.14431108,80.088,74.149,77.161,41130856,39971036
60,Ukraine,EasternEurope,603500,44223,90615,-9.9,2021.6,15.7,24.6,59.7,8.8,36369,39184,-2815,-189,-0.5,7.1,3,5.9,102,3203,98,49.81,26.22,22.87,39.16,67.26,49.94,5.3,6.01,18.88,16.63,512.06,0.2,26.22,9.36,18.14,19.87,19.69,26.93,100,2845.424466,46.59356793,53.792982,6794396,13860000000,12231000000,235.2992044,-2.176657696,6.99532032,48.01429815,14.43832275,76.78,67.02,71.78097561,24074287,20756848
61,United Arab Emirates,WesternAsia,83600,9400,370296,3.8,40438.8,3.5,21.1,75.4,3.7,195613,201908,-6296,-99,2,3.6,1.6,-99,56,8642,366,60.49,67.98,5.6,35.05,58.52,8.86,9.7,10.65,10.3,9.39,42.07,2.38,67.98,68.84,68.39,55.36,63.92,116.77,100,37929.27436,18.39798117,16616.24461,95306195,,,113.302921,,3.334282339,99.59493841,1.966825578,79.008,76.966,77.647,2891723,6595480
62,United Kingdom,NorthernEurope,242495,66182,2858003,2.2,44162.4,1.2,18.4,80.4,5,415856,635570,-219713,-122571,0.6,9.1,2.8,5.7,102,4482,116,74.28,69.49,10,34.6,34.88,78.91,4.16,4.4,24.02,22.75,69.1,1.45,69.49,30.98,51.03,55.85,76.84,96.85,100,36564.26445,56.06989604,5915.641,151159067,3.72378E+11,2.28133E+11,114.9435916,-3.489235529,9.631694108,30.36612544,2.557755776,83.1,79.5,81.25609756,33464674,32594185
63,United States of America,NorthernAmerica,9833517,324460,18036648,2.6,56053.8,1.5,17.2,81.3,4.9,1453167,2249661,-796494,-462961,0.7,17.1,2.6,5.4,1513,83887,289,68.22,75.42,3.26,34.58,31.19,67.95,11.23,12.24,8.9,8.17,23.53,4.25,75.42,40.3,58.59,75.57,70.02,123.17,100,46371.35483,52.15580568,41591.55177,849403000,7.79305E+11,5.21836E+11,112.4115573,-2.256264376,17.06126928,12.09483379,2.130110004,81.1,76.1,78.53902439,164193686,160791853
64,Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,344331,-6.2,11068.9,11.9,26.8,61.3,6.6,19731,16324,3407,-20360,1.4,5.3,...,...,328,7460,90,36.9,38.3,202.07,46.24,72.9,91.17,3.51,3.18,28.48,31.42,4469.07,0.02,38.3,7.51,23.55,39.4,37.34,3.35,99.2,,53.64358938,2.792915532,4209158,,,,,1.181210112,,,76.194,68.523,72.246,14843348,14547061
65,Vietnam,South-easternAsia,330967,95541,193241,6.7,2067.9,41.8,22.9,35.2,2.2,176632,174111,2520,906,1.1,7.1,1.2,5.7,616,2977,30,47.87,40.11,26.76,33,88.1,-12.87,4.52,7.03,22.1,14.22,285.55,0.35,40.11,15.49,28.31,39.6,20.46,24.77,100,1613.264805,43.12003183,453.34954,42592762,13070000000,17100000000,153.6316522,-0.736884882,5.532128364,101.5934358,3.520256888,79.366,71.124,75.241,47405623,47191019
