,country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Population, female","Population, male"
17,Egypt,NorthernAfrica,1002000,97553,315917,4.2,3452.3,25.4,25.3,49.3,11.5,22507,58053,-35545,-16786,2.2,5.6,0.8,...,156,3509,36,43.73,22.36,10.66,48.84,88.88,75.59,7.18,7.74,13.93,12.93,138.09,0.72,22.36,5.03,14.05,19.01,18.56,29.39,100,2524.475991,63.83631303,403.828739,11748510,18612600000,16081600000,231.0941154,-3.373297094,5.287636817,15.8184438,29.50660839,73.967,69.453,71.656,47706816,48735777
18,Estonia,NorthernEurope,45227,1310,22460,1.4,17112,3.8,29,67.3,7.2,13952,15759,-1807,493,-0.3,6.4,3.3,5.5,23,242,193,71.3,49.5,10.54,26.71,17.71,44.56,4.11,3.95,24.33,25.3,68.75,1.45,49.5,13.98,32.47,36.74,46.76,68.48,100,16294.78517,55.12316147,,13103,6839243919,4752130177,115.4553248,2.693139279,6.429357827,76.13768653,3.417235495,82.6,73.8,78.09268293,698154,619230
19,Finland,NorthernEurope,338440,5523,231960,0.2,42148.1,4.2,22,73.8,8.9,57326,60502,-3176,-979,0.4,9.7,3,7.2,36,757,257,74.85,73.06,7.6,34.92,13.38,35.83,3.74,4.6,26.72,21.76,44.51,2.25,73.06,26.95,50.96,61.47,76.43,114.97,100,39458.5092,60.07661757,852.01263,12209646,29913728719,31453244990,110.0007799,-0.684971968,9.206938744,37.67558943,0.754015047,84.5,78.9,81.63170732,2794857,2713357
20,France,WesternEurope,551500,64980,2418946,1.3,36304.2,2.7,20.5,76.8,9.8,488885,560555,-71670,-4861,0.4,11.5,3.2,5.5,278,5694,158,78.62,74.89,11.58,35.81,40.15,73.91,3,3.67,33.29,27.22,73.86,1.35,74.89,24.83,50.9,69.54,72.89,87.29,100,36547.87958,60.71698782,4260.597,68316473,2.71067E+11,2.4903E+11,106.864453,-0.634662879,11.31289229,30.94863319,1.032282751,85.7,79.6,82.57560976,34480922,32383457
21,Germany,WesternEurope,357376,82114,3363600,1.7,41686.2,1.4,27.5,71.2,4.2,1340752,1060672,280080,279969,0.2,11.3,4.1,5,116,5004,158,76.74,65.5,7.46,30.55,27.05,57.97,3.75,4.09,26.68,24.47,45.91,2.18,65.5,25.35,46.26,50.09,62.62,124.88,100,40038.34518,53.42641775,7901.652344,114160685,3.15403E+11,3.45731E+11,109.3524635,7.835054377,11.2468347,47.3974342,1.509496558,83.4,78.7,80.99268293,41919970,40737032
22,Greece,SouthernEurope,131957,11160,194860,-0.2,17788,12.9,15,72.1,23,27811,47595,-19784,218,-0.4,8.1,6.3,...,374,368,89,53.92,55.87,8.33,31.6,52.05,87.25,4.14,4.2,24.15,23.8,62.48,1.6,55.87,10.2,33.98,44.95,54.62,58.24,100,19581.01081,55.28953157,23.525,13852857,38237102483,17510745541,101.0598733,-1.771218012,8.041390032,32.99039638,1.121235477,83.9,78.8,81.28780488,5475485,5279194
23,Hungary,EasternEurope,93024,9722,121715,3.1,12350.6,4.3,29.8,65.9,4.5,103071,92044,11027,3946,-0.3,7.4,3.3,4.7,66,423,97,53.46,42.77,11.2,33.09,43.99,66.49,5.43,5.97,18.43,16.76,97.32,1.03,42.77,12.67,28.35,33.62,32.72,47.52,100,12430.28477,49.14270834,,26066294,26887572030,18639180669,114.4500172,2.312371897,6.879989803,87.14309621,2.348242812,79.3,72.5,75.81707317,5133501,4654465
24,India,SouthernAsia,3287263,1339180,2116239,7.6,1614.2,44.3,24.5,31.2,3.4,260327,356705,-96378,-22457,1.2,4.7,0.7,3.8,1052,23103,27,69.18,25.08,10.28,46.38,76.53,9.3,3.08,3.81,32.44,26.24,123.44,0.81,25.08,6.77,16.31,25.2,16.38,76.73,92.6,1724.843572,50.28963726,2407.098107,139752424,1.84673E+11,1.08736E+11,159.8294647,-1.438793396,3.534959629,18.78268517,2.490886999,70.425,68,69.165,642787641,695871194
25,Indonesia,South-easternAsia,1910931,263991,861934,4.8,3346.5,31.4,22.4,46.2,5.8,144490,135653,8837,-17697,1.2,2.8,0.2,3.6,1281,19481,35,64.8,41.11,21.03,49.44,76.41,9.62,4.67,4.94,21.41,20.26,247.68,0.4,41.11,11.66,26.99,45.8,20.29,27.61,98.14,3136.524418,48.36101889,1052.36048,108393123,24665052782,32591673212,142.1824123,-1.594656902,2.989054471,20.17730444,3.80879807,73.515,69.156,71.282,131375660,133270226
26,Iran (Islamic Republic of),SouthernAsia,1628750,81163,398563,0.4,5038.1,16.6,32.5,50.9,11.3,45627,35333,10294,-99,1.2,7.5,1.5,2.9,134,13291,127,51.55,38.26,13.5,49.7,82.51,71.48,6.1,8.12,16.39,12.31,275.34,0.36,38.26,17.05,28.09,33.53,33.17,43.18,100,4523.723569,43.44433945,325.6687243,26858178.78,,,333.6733224,,8.659663796,24.94217685,8.044924377,77.436,75.217,76.271,39854933,40819018
